role,language,gender,level1,level2,level3
Knight,en,m,"Slay the goblin scout","Defeat the Orc Warchief","Rescue the princess from the dragon's keep"
Knight,en,mf,"Patrol the castle walls","Win the grand tournament","Lead the charge against the undead army"
Mage,en,f,"Brew a simple healing potion","Decode the ancient scroll","Close the portal to the shadow realm"
Mage,en,mf,"Identify three magical herbs","Master the invisibility spell","Confront the Arch-Lich in his sanctum"
Rogue,en,m,"Pickpocket a wealthy merchant","Infiltrate the thieves' guild headquarters","Steal the Serpent's Eye jewel from the royal vault"
Rogue,en,f,"Eavesdrop on a secret meeting","Sabotage the city guard's alarm system","Assassinate the corrupt duke during the masquerade ball"
Ranger,en,mf,"Track a deer through the forest","Survive a night alone in the haunted woods","Hunt down the legendary Manticore"
Bund,da,mf,"Modtag 2 slag med et spanskrør","Modtag 5 slag med et spanskrør","Modtag 10 slag med et spanskrør"
Top,da,mf,"Giv 2 slag med et spanskrør","Giv 5 slag med et spanskrør","Giv 10 slag med et spanskrør"
Bund,da,mf,"Modtag 2 slag med et flogger","Modtag 5 slag med et flogger","Modtag 10 slag med et flogger"
Top,da,mf,"Giv 2 slag med et flogger","Giv 5 slag med et flogger","Giv 10 slag med et flogger"
Bund,da,mf,"Modtag 2 slag med et paddel","Modtag 5 slag med et paddel","Modtag 10 slag med et paddel"
Top,da,mf,"Giv 2 slag med et paddel","Giv 5 slag med et paddel","Giv 10 slag med et paddel"
Bund,da,mf,"Modtag 2 slag med et singletail","Modtag 5 slag med et singletail","Modtag 10 slag med et singletail"
Top,da,mf,"Giv 2 slag med et singletail","Giv 5 slag med et singletail","Giv 10 slag med et singletail"
Bund,da,mf,"Modtag 1 lussing","Modtag 3 lussinger","Modtag 5 lussinger"
Top,da,mf,"Giv 1 lussing","Giv 3 lussinger","Giv 5 lussinger"
